attention,baseline_sha256,batch_size,benchmark_base,block_table_width,cache_layout,candidate_sha256,cann_version,capture_returncode,case,causal,device,device_index,device_name,dp_size,draft_width,dtype,family,gqa_interleave,head_dim,kernel_name,kv_length,layout,length_pattern,m,max_kv_len_hint,max_q_len,min_runtime_kv_length,num_cube_cores,num_kv_heads,num_q_heads,num_vector_cores,page_size,path,provider,python_version,q_head_scale,record_type,runtime_kv_lens,runtime_q_lens,sample_count,schema_version,seed,sha256,sink_dtype,size_bytes,softmax_scale,status,swa_left_window,task_max_us,task_mean_us,task_min_us,task_p50_us,timing_authority,topology,torch_npu_version,torch_version,triton_version,workload_id,workspace_commit
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,full_decode_m4_b4_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,decode,False,256,paged_decode_fd_kernel,4096,tp4,uniform,4,4096,1,4096,28,1,6,56,64,msprof_preflight/msprof/baseline/paged_decode_fd_kernel.log.gz,baseline,3.11.10,1.0,msprof_kernel_component,"[4096, 4096, 4096, 4096]","[1, 1, 1, 1]",3,1,20260829,0c9b644e088009f925f3b4bd3dc09ef6ee0c28491d03fb43998bc3c4710bd401,float32,1192,0.09119556747428784,MEASURED,,17.415001,17.25133333333333,17.025999,17.313,msprof_op_task_duration_acceptance,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_decode_m4_b4_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,full_decode_m4_b4_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,decode,False,256,paged_decode_fd_reduce_kernel,4096,tp4,uniform,4,4096,1,4096,28,1,6,56,64,msprof_preflight/msprof/baseline/paged_decode_fd_reduce_kernel.log.gz,baseline,3.11.10,1.0,msprof_kernel_component,"[4096, 4096, 4096, 4096]","[1, 1, 1, 1]",3,1,20260829,688261848ed4b01852b32233d38d21257b204f748eef52fab74ea882d986b5dc,float32,1233,0.09119556747428784,MEASURED,,3.82,3.3463333333333334,3.063,3.156,msprof_op_task_duration_acceptance,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_decode_m4_b4_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
swa,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,swa_decode_m4_b4_kv4096_uniform_tp4_dp2,True,npu:5,5,Ascend950PR_957b,2,,bfloat16,decode,False,256,_swa_paged_decode_sink_kernel,4096,tp4_dp2,uniform,4,4096,1,4096,28,1,12,56,64,msprof_preflight/msprof/baseline/_swa_paged_decode_sink_kernel.log.gz,baseline,3.11.10,2.0,msprof_kernel_component,"[4096, 4096, 4096, 4096]","[1, 1, 1, 1]",3,1,20260829,3afdcfa2af8af2bdf9757fd52e02fbae33e32f5ef3f11b8c8716aa8e43f19267,float32,1379,0.09119556747428784,MEASURED,511,10.019,9.541333333333334,8.739,9.866,msprof_op_task_duration_acceptance,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m4_b4_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,full_verify_d2_m8_b4_kv4096_uniform_tp4_dp2,True,npu:5,5,Ascend950PR_957b,2,2,bfloat16,prefill,False,256,paged_prefill_page_aggregation_kernel,4096,tp4_dp2,uniform,8,,2,4096,28,1,12,56,64,msprof_preflight/msprof/baseline/paged_prefill_page_aggregation_kernel.log.gz,baseline,3.11.10,2.0,msprof_kernel_component,"[4096, 4096, 4096, 4096]","[2, 2, 2, 2]",3,1,20260829,7cf665b905afb3490a06df5e695458b69cd6e1ff4cc254cd3e68cfda8e4a61d2,float32,1185,0.09119556747428784,MEASURED,,190.952988,190.916331,190.863998,190.932007,msprof_op_task_duration_acceptance,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_verify_d2_m8_b4_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
swa,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",1,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,swa_prefill_dense_m64_b1_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,prefill,False,256,_swa_paged_prefill_aggregation_sink_kernel,4096,tp4,uniform,64,,64,4096,28,1,6,56,64,msprof_preflight/msprof/baseline/_swa_paged_prefill_aggregation_sink_kernel.log.gz,baseline,3.11.10,1.0,msprof_kernel_component,[4096],[64],3,1,20260829,127581b18839007ffdb8801718ac93159e1fa749f0ed59724732b2fa075149a8,float32,1386,0.09119556747428784,MEASURED,511,14.851,14.774666666666667,14.733,14.74,msprof_op_task_duration_acceptance,prefill_dense,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_prefill_dense_m64_b1_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,full_decode_m4_b4_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,decode,False,256,paged_decode_fd_kernel,4096,tp4,uniform,4,4096,1,4096,28,1,6,56,64,msprof_preflight/msprof/candidate/paged_decode_fd_kernel.log.gz,candidate,3.11.10,1.0,msprof_kernel_component,"[4096, 4096, 4096, 4096]","[1, 1, 1, 1]",3,1,20260829,4d3105c52c6032fa8e996a519f5954c31e896a513024fd1af308f8db0f3d4157,float32,1188,0.09119556747428784,MEASURED,,17.591999,17.34866666666667,17.207001,17.247,msprof_op_task_duration_acceptance,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_decode_m4_b4_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,full_decode_m4_b4_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,decode,False,256,paged_decode_fd_reduce_kernel,4096,tp4,uniform,4,4096,1,4096,28,1,6,56,64,msprof_preflight/msprof/candidate/paged_decode_fd_reduce_kernel.log.gz,candidate,3.11.10,1.0,msprof_kernel_component,"[4096, 4096, 4096, 4096]","[1, 1, 1, 1]",3,1,20260829,0025255e51b0b66bda68cb391bac49eae1d8013be9be77aad28d5c27226920f6,float32,1235,0.09119556747428784,MEASURED,,3.852,3.565,3.108,3.735,msprof_op_task_duration_acceptance,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_decode_m4_b4_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
swa,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,swa_decode_m4_b4_kv4096_uniform_tp4_dp2,True,npu:5,5,Ascend950PR_957b,2,,bfloat16,decode,False,256,_swa_paged_decode_sink_kernel,4096,tp4_dp2,uniform,4,4096,1,4096,28,1,12,56,64,msprof_preflight/msprof/candidate/_swa_paged_decode_sink_kernel.log.gz,candidate,3.11.10,2.0,msprof_kernel_component,"[4096, 4096, 4096, 4096]","[1, 1, 1, 1]",3,1,20260829,3be9e435240300553bf0802affaf3fab46f93a5a2a8275d24645ecc9ffe27d64,float32,1380,0.09119556747428784,MEASURED,511,9.951,9.345333333333334,8.418,9.667,msprof_op_task_duration_acceptance,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m4_b4_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,full_verify_d2_m8_b4_kv4096_uniform_tp4_dp2,True,npu:5,5,Ascend950PR_957b,2,2,bfloat16,prefill,False,256,paged_prefill_dp_small_q_grouped_kernel,4096,tp4_dp2,uniform,8,,2,4096,28,1,12,56,64,msprof_preflight/msprof/candidate/paged_prefill_dp_small_q_grouped_kernel.log.gz,candidate,3.11.10,2.0,msprof_kernel_component,"[4096, 4096, 4096, 4096]","[2, 2, 2, 2]",3,1,20260829,f3c2e217b28cd6502d267838c0c8acda8e71c779f937af448020c0492dde3e14,float32,1214,0.09119556747428784,MEASURED,,161.379013,161.15999833333333,160.867996,161.232986,msprof_op_task_duration_acceptance,verify_d2,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,full_verify_d2_m8_b4_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
swa,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",1,b0d4453d806298b6fa05da5f948e377d03198d38,64,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'ab26924efc7c69e4637cb7008ec513444e1848610c91ca6779e2a0b25edb67b7', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,0,swa_prefill_dense_m64_b1_kv4096_uniform_tp4,True,npu:5,5,Ascend950PR_957b,1,,bfloat16,prefill,False,256,_swa_paged_prefill_aggregation_sink_kernel,4096,tp4,uniform,64,,64,4096,28,1,6,56,64,msprof_preflight/msprof/candidate/_swa_paged_prefill_aggregation_sink_kernel.log.gz,candidate,3.11.10,1.0,msprof_kernel_component,[4096],[64],3,1,20260829,69cd26754113ed8d762390bc46e91c836d090d43f62d452f7bbeee65f0787ec4,float32,1540,0.09119556747428784,MEASURED,511,15.194,14.938,14.662,14.958,msprof_op_task_duration_acceptance,prefill_dense,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_prefill_dense_m64_b1_kv4096_uniform,b0d4453d806298b6fa05da5f948e377d03198d38
