attention,baseline_components_us,baseline_p50_us,baseline_sha256,batch_size,benchmark_base,block_table_width,cache_layout,candidate_components_us,candidate_p50_us,candidate_sha256,candidate_us_per_qhead_scale,cann_version,case,causal,decode_reference_target_us,decode_target_ratio,device,device_index,device_name,dp_size,draft_width,dtype,effective_minimum_case_speedup,family,gqa_interleave,head_dim,kv_length,layout,length_pattern,m,max_kv_len_hint,max_q_len,maximum_normalized_cost_ratio_vs_tp4,min_runtime_kv_length,normalized_cost_ratio_vs_tp4,normalized_efficiency_pass,num_cube_cores,num_kv_heads,num_q_heads,num_vector_cores,page_size,python_version,q_head_scale,record_type,runtime_kv_lens,runtime_q_lens,schema_version,seed,sink_dtype,softmax_scale,speedup_vs_baseline,status,swa_left_window,timing_authority,topology,torch_npu_version,torch_version,triton_version,workload_id,workspace_commit
swa,"{""_swa_paged_decode_sink_kernel"": 9.757}",9.757,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",1,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 9.864}",9.864,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",9.864,9.1.0,swa_decode_m1_b1_kv4096_ragged_tp4,True,,,npu:1,1,Ascend950PR_957b,1,,bfloat16,0.98,decode,False,256,4096,tp4,ragged,1,4079,1,0.85,4079,1.0,True,28,1,6,56,64,3.11.10,1.0,msprof_logical_attention_latency,[4079],[1],1,20260829,float32,0.09119556747428784,0.9891524736415246,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m1_b1_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 9.943}",9.943,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 10.014}",10.014,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",10.014,9.1.0,swa_decode_m4_b4_kv4096_ragged_tp4,True,,,npu:1,1,Ascend950PR_957b,1,,bfloat16,0.98,decode,False,256,4096,tp4,ragged,4,4079,1,0.85,3968,1.0,True,28,1,6,56,64,3.11.10,1.0,msprof_logical_attention_latency,"[4079, 4042, 4005, 3968]","[1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,0.9929099261034552,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m4_b4_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 10.105}",10.105,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",8,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 10.347}",10.347,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",10.347,9.1.0,swa_decode_m8_b8_kv4096_ragged_tp4,True,,,npu:1,1,Ascend950PR_957b,1,,bfloat16,0.98,decode,False,256,4096,tp4,ragged,8,4079,1,0.85,3857,1.0,True,28,1,6,56,64,3.11.10,1.0,msprof_logical_attention_latency,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077]","[1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,0.9766115782352374,PERF_REGRESSION,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m8_b8_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 13.02}",13.02,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",16,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 12.928}",12.928,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",12.928,9.1.0,swa_decode_m16_b16_kv4096_ragged_tp4,True,,,npu:1,1,Ascend950PR_957b,1,,bfloat16,0.98,decode,False,256,4096,tp4,ragged,16,4079,1,0.85,3855,1.0,True,28,1,6,56,64,3.11.10,1.0,msprof_logical_attention_latency,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077, 4040, 4003, 3966, 3929, 3892, 3855, 4075, 4038]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,1.0071163366336633,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m16_b16_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 22.017}",22.017,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",32,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 21.5}",21.5,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",21.5,9.1.0,swa_decode_m32_b32_kv4096_ragged_tp4,True,,,npu:1,1,Ascend950PR_957b,1,,bfloat16,0.98,decode,False,256,4096,tp4,ragged,32,4079,1,0.85,3851,1.0,True,28,1,6,56,64,3.11.10,1.0,msprof_logical_attention_latency,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077, 4040, 4003, 3966, 3929, 3892, 3855, 4075, 4038, 4001, 3964, 3927, 3890, 3853, 4073, 4036, 3999, 3962, 3925, 3888, 3851, 4071, 4034, 3997, 3960]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,1.024046511627907,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m32_b32_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 23.343}",23.343,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 23.186001}",23.186001,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",23.186001,9.1.0,swa_decode_m40_b40_kv4096_ragged_tp4,True,27.0,0.8587407777777778,npu:1,1,Ascend950PR_957b,1,,bfloat16,0.98,decode,False,256,4096,tp4,ragged,40,4079,1,0.85,3849,1.0,True,28,1,6,56,64,3.11.10,1.0,msprof_logical_attention_latency,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077, 4040, 4003, 3966, 3929, 3892, 3855, 4075, 4038, 4001, 3964, 3927, 3890, 3853, 4073, 4036, 3999, 3962, 3925, 3888, 3851, 4071, 4034, 3997, 3960, 3923, 3886, 3849, 4069, 4032, 3995, 3958, 3921]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,1.0067712841037142,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m40_b40_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 28.757}",28.757,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",56,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 28.84}",28.84,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",28.84,9.1.0,swa_decode_m56_b56_kv4096_ragged_tp4,True,33.0,0.8739393939393939,npu:1,1,Ascend950PR_957b,1,,bfloat16,0.98,decode,False,256,4096,tp4,ragged,56,4079,1,0.85,3843,1.0,True,28,1,6,56,64,3.11.10,1.0,msprof_logical_attention_latency,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077, 4040, 4003, 3966, 3929, 3892, 3855, 4075, 4038, 4001, 3964, 3927, 3890, 3853, 4073, 4036, 3999, 3962, 3925, 3888, 3851, 4071, 4034, 3997, 3960, 3923, 3886, 3849, 4069, 4032, 3995, 3958, 3921, 3884, 3847, 4067, 4030, 3993, 3956, 3919, 3882, 3845, 4065, 4028, 3991, 3954, 3917, 3880, 3843]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,0.997122052704577,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m56_b56_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 10.816}",10.816,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",1,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 10.541}",10.541,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",2.63525,9.1.0,swa_decode_m1_b1_kv4096_ragged_tp4_dp4,True,,,npu:1,1,Ascend950PR_957b,4,,bfloat16,1.0,decode,False,256,4096,tp4_dp4,ragged,1,4079,1,0.85,4079,0.2671583536090835,True,28,2,24,56,64,3.11.10,4.0,msprof_logical_attention_latency,[4079],[1],1,20260829,float32,0.09119556747428784,1.0260886063940804,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m1_b1_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 11.256}",11.256,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",4,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 10.544}",10.544,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",2.636,9.1.0,swa_decode_m4_b4_kv4096_ragged_tp4_dp4,True,,,npu:1,1,Ascend950PR_957b,4,,bfloat16,1.0,decode,False,256,4096,tp4_dp4,ragged,4,4079,1,0.85,3968,0.26323147593369284,True,28,2,24,56,64,3.11.10,4.0,msprof_logical_attention_latency,"[4079, 4042, 4005, 3968]","[1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,1.06752655538695,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m4_b4_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
swa,"{""_swa_paged_decode_sink_kernel"": 12.897}",12.897,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",8,55381345369baced1e62e914d994cb259da325b2,64,native_NHD_then_page_head_token_dim_permute,"{""_swa_paged_decode_sink_kernel"": 12.871}",12.871,"{'prefill': 'd8d94e75bea451908cd0b58b60c08503c030cf5d15e491d7694f6706aa094a90', 'decode': 'fa252f55c7acb306712274ea94fa4c90d5a4407f3f0633dccd6124d516cfe922'}",3.21775,9.1.0,swa_decode_m8_b8_kv4096_ragged_tp4_dp4,True,,,npu:1,1,Ascend950PR_957b,4,,bfloat16,1.0,decode,False,256,4096,tp4_dp4,ragged,8,4079,1,0.85,3857,0.31098386005605494,True,28,2,24,56,64,3.11.10,4.0,msprof_logical_attention_latency,"[4079, 4042, 4005, 3968, 3931, 3894, 3857, 4077]","[1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,float32,0.09119556747428784,1.0020200450625436,PASS,511,sum_of_msprof_op_task_duration_p50,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,swa_decode_m8_b8_kv4096_ragged,55381345369baced1e62e914d994cb259da325b2
