attention,baseline_sha256,batch_size,benchmark_base,block_table_stride,block_table_width,cache_layout,candidate_sha256,cann_version,case,causal,device,device_index,device_name,dp_size,draft_width,dtype,family,gqa_interleave,head_dim,kv_cache_stride,kv_length,layout,length_pattern,m,max_kv_len_hint,max_q_len,min_runtime_kv_length,num_cube_cores,num_kv_heads,num_q_heads,num_vector_cores,page_size,path,physical_pages,profile_metric,python_version,q_head_scale,q_stride,record_type,runtime_kv_lens,runtime_q_lens,schema_version,seed,sha256,sink_dtype,size_bytes,softmax_scale,status,swa_left_window,topology,torch_npu_version,torch_version,triton_version,uncompressed_size_bytes,workload_id,workspace_commit
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/pipe_utilization/TENCENT64-124_2579183_20260901053929165_ascend_pt__ASCEND_PROFILER_OUTPUT__kernel_details.csv.gz,10500,pipe_utilization,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,9a653a424ce2da837fef1c8926bc2635041cb196bbe91f441e913d49fcc73141,float32,831,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,2007,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/pipe_utilization/TENCENT64-124_2579183_20260901053929165_ascend_pt__ASCEND_PROFILER_OUTPUT__l2_cache.csv.gz,10500,pipe_utilization,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,d593f91450ba9802e24edb5b2686a520908d0b9e5690d7cb8d29d17b158a9572,float32,212,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,148,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/pipe_utilization/TENCENT64-124_2579183_20260901053929165_ascend_pt__ASCEND_PROFILER_OUTPUT__op_statistic.csv.gz,10500,pipe_utilization,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,322766ed69b5d1fdf1a6b37d07a1f198bc0b86ca7d2c2a4f352d2439063d4cea,float32,241,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,170,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/pipe_utilization/TENCENT64-124_2579183_20260901053929165_ascend_pt__ASCEND_PROFILER_OUTPUT__operator_details.csv.gz,10500,pipe_utilization,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,42e661c81b23c064cc063b546a00697cdf288a238dc9a694a5fbbe2ce187e455,float32,423,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,1039,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/pipe_utilization/TENCENT64-124_2579183_20260901053929165_ascend_pt__ASCEND_PROFILER_OUTPUT__step_trace_time.csv.gz,10500,pipe_utilization,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,33e93d61151270734bddb0596ed63d1066756e5e2d7be4db3a9389a891e816c4,float32,257,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,206,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/pipe_utilization/TENCENT64-124_2579183_20260901053929165_ascend_pt__ASCEND_PROFILER_OUTPUT__trace_view.json.gz,10500,pipe_utilization,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,1c2d69d208fed13835830d3d46feaaabcc71a98b0615760cbbbe27a1dbc31b80,float32,2561,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,28576,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/pipe_utilization/TENCENT64-124_2579183_20260901053929165_ascend_pt__PROF_000001_20260901053929193_02579183AAOCGHBK__mindstudio_profiler_output__l2_cache_20260901053931.csv.gz,10500,pipe_utilization,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,05c5a7e6bf3a2340454b22ad887ea20f96cee8d9afd80be664c77f467b51be79,float32,278,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,145,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/pipe_utilization/TENCENT64-124_2579183_20260901053929165_ascend_pt__profiler_info.json.gz,10500,pipe_utilization,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,1745a0056de20db7f63b402c1fbd8912a8ded04a6ee14c489fb28aa1739bd5e2,float32,603,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,1372,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/memory/TENCENT64-124_2579183_20260901053932917_ascend_pt__ASCEND_PROFILER_OUTPUT__kernel_details.csv.gz,10500,memory,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,31adb3396a75ad6f6ddcb274fb9fa1f4eb5d7e08b3cbd846b8efa1a6d4e8517d,float32,649,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,1493,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
full,"{'prefill': 'c4166cfe326127daf30bc629493d8b251d8be85f97cda2efa510eab6bc6d3a54', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",40,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404,"[264, 1]",264,native_NHD_then_page_head_token_dim_permute,"{'prefill': 'bef84833bcadedb69eee7b57487d718c6b9d6076a4a7db3421876faa861f87c0', 'decode': 'c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec'}",9.1.0,full_decode_m40_b40_kv16896_ragged_tp4_dp4,True,npu:5,5,Ascend950PR_957b,4,,bfloat16,decode,False,256,"[32768, 256, 512, 1]",16896,tp4_dp4,ragged,40,16879,1,16649,28,2,24,56,64,profile/full/full_decode_m40_b40_kv16896_ragged_tp4_dp4/memory/TENCENT64-124_2579183_20260901053932917_ascend_pt__ASCEND_PROFILER_OUTPUT__l2_cache.csv.gz,10500,memory,3.11.10,4.0,"[6144, 256, 1]",profile_artifact,"[16879, 16842, 16805, 16768, 16731, 16694, 16657, 16877, 16840, 16803, 16766, 16729, 16692, 16655, 16875, 16838, 16801, 16764, 16727, 16690, 16653, 16873, 16836, 16799, 16762, 16725, 16688, 16651, 16871, 16834, 16797, 16760, 16723, 16686, 16649, 16869, 16832, 16795, 16758, 16721]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,20260829,5e8d44b3062b47b197a3f4b7fd205dd811a7e724d74c9aaba6352b62a7b4f82a,float32,212,0.09119556747428784,CAPTURED,,decode,2.10.0.post4.dev20260715,2.10.0+cpu,3.2.0,148,full_decode_m40_b40_kv16896_ragged,8205da3ace6c6796bdbbe5dde9dbc7ee73ea1404
