attention,baseline_cosine_similarity,baseline_host_prepare_submit_ms,baseline_max_abs_error,baseline_max_rel_error,baseline_mean_abs_error,baseline_nonfinite_count,baseline_sha256,baseline_vs_reference,benchmark_base,block_table_stride,block_table_width,cache_layout,candidate_cosine_similarity,candidate_host_prepare_submit_ms,candidate_max_abs_error,candidate_max_rel_error,candidate_mean_abs_error,candidate_nonfinite_count,candidate_sha256,candidate_vs_baseline,candidate_vs_reference,cann_version,capture_kv_lens,capture_q_lens,case,causal,device,device_index,device_name,draft_width,dtype,gqa_interleave,head_dim,kv_cache_stride,kv_length,length_pattern,m,max_q_len,min_runtime_kv_length,num_cube_cores,num_kv_heads,num_q_heads,num_vector_cores,page_size,pair_cosine_similarity,pair_max_abs_error,pair_max_rel_error,pair_mean_abs_error,pair_nonfinite_count,physical_pages,python_version,q_buffer_rows,q_stride,real_batch_size,record_type,runtime_kv_lens,runtime_q_lens,scheduled_batch_size,schema_version,seed,sink_dtype,softmax_scale,status,swa_left_window,table_width_mode,topology,torch_npu_version,torch_version,tp_size,triton_version,workspace_commit
full,0.9999973177909851,4.88286791369319,0.00390625,8.287449836730957,0.00024920946452766657,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[1, 1]",1,native_NHD_then_page_head_token_dim_permute,0.9999973177909851,0.3802620340138674,0.00390625,8.287449836730957,0.00024920946452766657,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[63],[1],full_dense_m1_kv63_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",63,uniform,1,1,63,28,1,6,56,64,0.9999999403953552,0.0,0.0,0.0,0.0,2,3.11.10,1,"[1536, 256, 1]",1,correctness,[63],[1],1,1,20260829,float32,0.09119556747428784,PASS,,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.999997615814209,0.2170850057154894,0.00390625,1.5099999904632568,0.0002514440566301346,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[1, 1]",1,native_NHD_then_page_head_token_dim_permute,0.999997615814209,0.19197608344256878,0.00390625,1.5099999904632568,0.0002514440566301346,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[64],[1],full_dense_m1_kv64_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",64,uniform,1,1,64,28,1,6,56,64,0.9999999403953552,0.0,0.0,0.0,0.0,2,3.11.10,1,"[1536, 256, 1]",1,correctness,[64],[1],1,1,20260829,float32,0.09119556747428784,PASS,,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.9999980926513672,0.22996519692242146,0.0078125,0.6282051205635071,0.00025298510445281863,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[2, 1]",2,native_NHD_then_page_head_token_dim_permute,0.9999980926513672,0.1844859216362238,0.0078125,0.6282051205635071,0.00025298510445281863,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[65],[1],full_dense_m1_kv65_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",65,uniform,1,1,65,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,3,3.11.10,1,"[1536, 256, 1]",1,correctness,[65],[1],1,1,20260829,float32,0.09119556747428784,PASS,,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999976754188538,0.0,0.001953125,6.098445415496826,0.00010370409290771931,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[8, 1]",8,native_NHD_then_page_head_token_dim_permute,0.9999974966049194,0.0,0.001953125,6.284974098205566,0.00010360630403738469,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[511],[1],swa_dense_m1_kv511_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",511,uniform,1,1,511,28,1,6,56,64,0.999998927116394,0.001953125,1.8181818723678589,5.541648715734482e-05,0.0,9,3.11.10,1,"[1536, 256, 1]",1,correctness,[511],[1],1,1,20260829,float32,0.09119556747428784,PASS,511,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999984502792358,0.0,0.001953125,2.6577539443969727,9.938797302311286e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[8, 1]",8,native_NHD_then_page_head_token_dim_permute,0.9999986886978149,0.0,0.001953125,20.08021354675293,9.31455142563209e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[512],[1],swa_dense_m1_kv512_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",512,uniform,1,1,512,28,1,6,56,64,0.9999992251396179,0.001953125,6.216374397277832,4.8300174967153e-05,0.0,9,3.11.10,1,"[1536, 256, 1]",1,correctness,[512],[1],1,1,20260829,float32,0.09119556747428784,PASS,511,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999974966049194,0.0,0.001953125,6.333333492279053,0.00011008644651155919,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[9, 1]",9,native_NHD_then_page_head_token_dim_permute,0.999997615814209,0.0,0.001953125,6.333333492279053,0.00010423285129945725,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[513],[1],swa_dense_m1_kv513_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",513,uniform,1,1,513,28,1,6,56,64,0.9999992847442627,0.001953125,0.38701921701431274,3.585972444852814e-05,0.0,10,3.11.10,1,"[1536, 256, 1]",1,correctness,[513],[1],1,1,20260829,float32,0.09119556747428784,PASS,511,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999976754188538,0.0,0.001953125,4.047210216522217,0.00011235410056542605,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[9, 1]",9,native_NHD_then_page_head_token_dim_permute,0.9999978542327881,0.0,0.001953125,3.8412017822265625,0.00011389450810384005,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[575],[1],swa_dense_m1_kv575_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",575,uniform,1,1,575,28,1,6,56,64,0.9999992847442627,0.001953125,0.2450980395078659,3.245411062380299e-05,0.0,10,3.11.10,1,"[1536, 256, 1]",1,correctness,[575],[1],1,1,20260829,float32,0.09119556747428784,PASS,511,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999975562095642,0.0,0.001953125,0.42222222685813904,0.00011383013043086976,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[9, 1]",9,native_NHD_then_page_head_token_dim_permute,0.9999976754188538,0.0,0.001953125,0.673758864402771,0.00011548431211849675,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[576],[1],swa_dense_m1_kv576_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",576,uniform,1,1,576,28,1,6,56,64,0.9999992847442627,0.001953125,0.5838926434516907,3.813067451119423e-05,0.0,9,3.11.10,1,"[1536, 256, 1]",1,correctness,[576],[1],1,1,20260829,float32,0.09119556747428784,PASS,511,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
swa,0.9999987483024597,0.0,0.00390625,2.151515245437622,9.32374969124794e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[10, 1]",10,native_NHD_then_page_head_token_dim_permute,0.9999988079071045,0.0,0.00390625,1.5833333730697632,9.396625682711601e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,[577],[1],swa_dense_m1_kv577_uniform_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",577,uniform,1,1,577,28,1,6,56,64,0.9999994039535522,0.001953125,0.8977272510528564,3.694665429065935e-05,0.0,10,3.11.10,1,"[1536, 256, 1]",1,correctness,[577],[1],1,1,20260829,float32,0.09119556747428784,PASS,511,compact,dense,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
full,0.9999974370002747,0.3165528178215027,0.001953125,135.1721649169922,4.8010744649218395e-05,0.0,c47f9bdcfb879eb73723521240a48a9bae99349d094a1fb82563535aabde82ec,True,ac9a68d9948de9b0cbab6667768624a6e030b587,"[64, 1]",64,native_NHD_then_page_head_token_dim_permute,0.9999974370002747,0.3399129491299391,0.001953125,135.1721649169922,4.8010744649218395e-05,0.0,0857977e3d02d3b7210d6e20efb055dfb35448c5bdcbfbadaf4d2c040af4fc36,True,True,9.1.0,"[4079, 4042, 4005, 3968, 3931, 3894, 3857]","[18, 19, 18, 18, 19, 18, 19]",full_ragged_prefill_b7_m129_kv4096_ragged_compact_tp4,True,npu:5,5,Ascend950PR_957b,,bfloat16,False,256,"[16384, 256, 256, 1]",4096,ragged,129,19,3857,28,1,6,56,64,1.0,0.0,0.0,0.0,0.0,438,3.11.10,129,"[1536, 256, 1]",7,correctness,"[4079, 4042, 4005, 3968, 3931, 3894, 3857]","[18, 19, 18, 18, 19, 18, 19]",7,1,20260829,float32,0.09119556747428784,PASS,,compact,ragged_prefill,2.10.0.post4.dev20260715,2.10.0+cpu,4,3.2.0,ac9a68d9948de9b0cbab6667768624a6e030b587
