case,workload_id,family,topology,dp_attention_size,context_length,speculative_width,n,batch_size,q_rows,local_q_heads,local_kv_heads,rotated_values,record_type,provider,kernel_name,timing_authority,status,sample_count,task_min_us,task_p50_us,task_mean_us,task_max_us,artifact
segmented_prefill_n1024_b7_ctx1024_tp4,segmented_prefill_n1024_b7_ctx1024,segmented_prefill,tp4,1,1024,1,1024,7,1024,6,1,458752,msprof_task_duration,baseline,_welmv4_inplace_rope_segmented_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,7.817,7.876,7.9002,7.971,msprof/baseline/_welmv4_inplace_rope_segmented_prefill_kernel_npu.log.gz
segmented_prefill_n2048_b7_ctx2048_tp4,segmented_prefill_n2048_b7_ctx2048,segmented_prefill,tp4,1,2048,1,2048,7,2048,6,1,917504,msprof_task_duration,baseline,_welmv4_inplace_rope_segmented_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,8.231,8.381,8.3844,8.598,msprof/baseline/_welmv4_inplace_rope_segmented_prefill_kernel_npu.log.gz
segmented_prefill_n2304_b7_ctx2304_tp4,segmented_prefill_n2304_b7_ctx2304,segmented_prefill,tp4,1,2304,1,2304,7,2304,6,1,1032192,msprof_task_duration,baseline,_welmv4_inplace_rope_segmented_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,8.225,8.394,8.397,8.582,msprof/baseline/_welmv4_inplace_rope_segmented_prefill_kernel_npu.log.gz
segmented_prefill_n1024_b7_ctx1024_tp4_dp4,segmented_prefill_n1024_b7_ctx1024,segmented_prefill,tp4_dp4,4,1024,1,1024,7,1024,24,2,1703936,msprof_task_duration,baseline,_welmv4_inplace_rope_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,20.801001,21.274,21.1530002,21.441,msprof/baseline/_welmv4_inplace_rope_kernel_npu.log.gz
segmented_prefill_n2048_b7_ctx2048_tp4_dp4,segmented_prefill_n2048_b7_ctx2048,segmented_prefill,tp4_dp4,4,2048,1,2048,7,2048,24,2,3407872,msprof_task_duration,baseline,_welmv4_inplace_rope_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,39.536999,39.589001,39.7870004,40.331001,msprof/baseline/_welmv4_inplace_rope_kernel_npu.log.gz
segmented_prefill_n2304_b7_ctx2304_tp4_dp4,segmented_prefill_n2304_b7_ctx2304,segmented_prefill,tp4_dp4,4,2304,1,2304,7,2304,24,2,3833856,msprof_task_duration,baseline,_welmv4_inplace_rope_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,44.348,44.880001,45.2442004,47.578999,msprof/baseline/_welmv4_inplace_rope_kernel_npu.log.gz
segmented_prefill_n1024_b7_ctx1024_tp4,segmented_prefill_n1024_b7_ctx1024,segmented_prefill,tp4,1,1024,1,1024,7,1024,6,1,458752,msprof_task_duration,candidate,_welmv4_inplace_rope_segmented_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,7.665,7.802,7.811400000000001,7.986,msprof/candidate/_welmv4_inplace_rope_segmented_prefill_kernel_npu.log.gz
segmented_prefill_n2048_b7_ctx2048_tp4,segmented_prefill_n2048_b7_ctx2048,segmented_prefill,tp4,1,2048,1,2048,7,2048,6,1,917504,msprof_task_duration,candidate,_welmv4_inplace_rope_segmented_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,8.177,8.457,8.419,8.542,msprof/candidate/_welmv4_inplace_rope_segmented_prefill_kernel_npu.log.gz
segmented_prefill_n2304_b7_ctx2304_tp4,segmented_prefill_n2304_b7_ctx2304,segmented_prefill,tp4,1,2304,1,2304,7,2304,6,1,1032192,msprof_task_duration,candidate,_welmv4_inplace_rope_segmented_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,8.127,8.482,8.4,8.66,msprof/candidate/_welmv4_inplace_rope_segmented_prefill_kernel_npu.log.gz
segmented_prefill_n1024_b7_ctx1024_tp4_dp4,segmented_prefill_n1024_b7_ctx1024,segmented_prefill,tp4_dp4,4,1024,1,1024,7,1024,24,2,1703936,msprof_task_duration,candidate,_welmv4_inplace_rope_head_parallel_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,27.26,27.344999,27.4759996,27.847,msprof/candidate/_welmv4_inplace_rope_head_parallel_prefill_kernel_npu.log.gz
segmented_prefill_n2048_b7_ctx2048_tp4_dp4,segmented_prefill_n2048_b7_ctx2048,segmented_prefill,tp4_dp4,4,2048,1,2048,7,2048,24,2,3407872,msprof_task_duration,candidate,_welmv4_inplace_rope_head_parallel_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,50.562,50.807999,50.8138002,51.117001,msprof/candidate/_welmv4_inplace_rope_head_parallel_prefill_kernel_npu.log.gz
segmented_prefill_n2304_b7_ctx2304_tp4_dp4,segmented_prefill_n2304_b7_ctx2304,segmented_prefill,tp4_dp4,4,2304,1,2304,7,2304,24,2,3833856,msprof_task_duration,candidate,_welmv4_inplace_rope_head_parallel_prefill_kernel_npu,msprof_op_task_duration_acceptance,MEASURED,5,56.459,56.490002,56.590600800000004,56.951,msprof/candidate/_welmv4_inplace_rope_head_parallel_prefill_kernel_npu.log.gz
